,importance,stddev,p_value,n,p99_high,p99_low
age,0.3301510059407318,0.007050882260936474,2.494827563047026e-08,5,0.3446688699695493,0.31563314191191433
avg_glucose_level,0.06945440480856288,0.004902789719602287,2.9598875241137187e-06,5,0.07954931660497923,0.05935949301214653
bmi,0.033253845978834226,0.0016002535425014592,6.415479728660715e-07,5,0.03654879014069917,0.02995890181696928
work_type,0.015841006975283678,0.001416442416470067,7.589797755389829e-06,5,0.01875748148811024,0.012924532462457117
smoking_status,0.011412438061035136,0.0011811360363843503,1.3573443154845899e-05,5,0.013844413484985411,0.00898046263708486
ever_married,0.00749831187747132,0.0008949544252169202,2.389608212393573e-05,5,0.009341035408577641,0.005655588346364999
Residence_type,0.006511151911281021,0.0008126125542035638,2.8517938492383428e-05,5,0.008184332391885239,0.004837971430676803
gender,0.0056531177573319715,0.0005894975626946948,1.3985777026237577e-05,5,0.00686690138664253,0.0044393341280214126
hypertension,0.003394875576891487,0.0004732282841453593,4.415703221440664e-05,5,0.004369259154656756,0.0024204919991262187
heart_disease,0.0022642520254251065,0.00039005413815581554,0.00010162259476368867,5,0.003067378887009039,0.0014611251638411739
